id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2983686,1,2016-04-16 20:48:47,2016-04-16 21:03:59,1,-74.0063781738,40.7091827393,-73.9920501709,40.7260894775,N,912
id3222021,2,2016-02-02 12:33:51,2016-02-02 12:43:54,5,-74.0054168701,40.7459411621,-73.9888763428,40.7449302673,N,603
id2751617,1,2016-06-20 12:55:59,2016-06-20 13:09:19,1,-73.9820327759,40.7758331299,-73.9915237427,40.7499961853,N,800
id2402469,1,2016-03-09 11:32:51,2016-03-09 11:49:41,2,-73.9900512695,40.7328910828,-73.9883499146,40.7485656738,N,1010
id0854825,2,2016-04-30 00:21:14,2016-04-30 00:42:07,3,-73.9829864502,40.7508201599,-73.9899673462,40.7188987732,N,1253
id3921953,2,2016-05-03 23:11:57,2016-05-03 23:20:16,5,-73.9634094238,40.7751312256,-73.9853973389,40.7609786987,N,499
id0290036,1,2016-04-09 03:44:18,2016-04-09 03:50:34,1,-73.9875793457,40.7183036804,-73.9517211914,40.7149887085,N,376
id1392501,2,2016-05-14 00:03:52,2016-05-14 00:05:32,1,-73.9852523804,40.7639884949,-73.9818725586,40.7706489563,N,100
id2397778,2,2016-01-28 11:58:31,2016-01-28 12:04:04,1,-73.9939956665,40.7511520386,-74.0036087036,40.7565002441,N,333
id0555667,1,2016-06-11 11:58:06,2016-06-11 12:04:38,3,-73.9946517944,40.7501564026,-73.9865951538,40.7593193054,N,392
id0537681,2,2016-04-12 19:17:45,2016-04-12 19:21:50,1,-73.9830169678,40.7477607727,-73.9789886475,40.7551689148,N,245
id2803423,1,2016-03-25 20:01:24,2016-03-25 20:06:03,2,-73.9827270508,40.7310028076,-73.9736709595,40.7378768921,N,279
id3674717,1,2016-03-13 06:05:02,2016-03-13 06:21:44,1,-73.9829864502,40.7665596008,-73.9514389038,40.813583374,N,1002
id3448291,2,2016-03-07 17:46:00,2016-03-07 17:57:09,1,-73.9754943848,40.7553634644,-73.9655075073,40.7602767944,N,669
id0302475,1,2016-02-05 09:21:47,2016-02-05 09:40:08,1,-74.0006484985,40.7366027832,-73.9848098755,40.7454566956,Y,1101
id1253521,1,2016-05-29 00:26:55,2016-05-29 00:31:53,1,-73.9632644653,40.7619361877,-73.9760742188,40.7445373535,N,298
id2637305,1,2016-06-10 09:57:33,2016-06-10 10:01:47,1,-73.9924545288,40.7131576538,-74.0004272461,40.7144851685,N,254
id3223220,1,2016-01-02 01:09:29,2016-01-02 01:13:56,2,-73.9888763428,40.7569084167,-73.9736557007,40.7506523132,N,267
id3006843,1,2016-06-02 20:52:49,2016-06-02 21:17:36,1,-74.0021057129,40.7151107788,-73.9761810303,40.7491378784,N,1487
id0576031,1,2016-06-12 16:40:32,2016-06-12 16:45:21,3,-73.9703598022,40.7561912537,-73.97605896,40.7444953918,N,289
id2343605,1,2016-06-05 11:08:18,2016-06-05 11:20:41,1,-73.9831161499,40.7305755615,-73.9638900757,40.7660179138,N,743
id1708688,1,2016-03-23 08:22:59,2016-03-23 08:28:32,1,-73.9935684204,40.7469024658,-74.0073547363,40.7417259216,N,333
id1374859,2,2016-06-01 12:39:37,2016-06-01 13:18:42,2,-73.9974594116,40.7230911255,-73.9711608887,40.7668113708,N,2345
id2696052,1,2016-03-10 14:23:13,2016-03-10 14:39:48,1,-73.9758529663,40.7555961609,-73.9906387329,40.7507514954,N,995
id2113990,2,2016-05-25 08:08:57,2016-05-25 08:22:06,1,-73.9585876465,40.7724914551,-73.9535064697,40.791229248,N,789
id0784676,2,2016-05-09 05:25:11,2016-05-09 05:30:39,1,-73.9649200439,40.7666397095,-73.9834518433,40.7604103088,N,328
id3847884,1,2016-06-15 09:33:55,2016-06-15 09:57:16,2,-73.9916687012,40.7321128845,-74.0095977783,40.7229881287,N,1401
id0579037,2,2016-05-27 19:40:35,2016-05-27 19:54:44,2,-73.9917373657,40.7350196838,-74.01587677,40.715171814,N,849
id0250635,1,2016-02-27 09:53:58,2016-02-27 09:54:47,1,-73.9490737915,40.8129234314,-73.9466171265,40.8162918091,N,49
id0388714,1,2016-02-10 00:11:33,2016-02-10 00:18:52,1,-73.9770050049,40.7541503906,-73.9937286377,40.7546157837,N,439
id1191230,2,2016-02-05 13:33:39,2016-02-05 13:44:12,1,-73.9660110474,40.7897911072,-73.9634399414,40.7714805603,N,633
id1459392,2,2016-05-26 12:46:57,2016-05-26 12:54:36,6,-73.9639587402,40.7768173218,-73.9569244385,40.7684020996,N,459
id0267114,1,2016-01-30 02:20:26,2016-01-30 02:28:15,4,-74.0050964355,40.7204284668,-73.989906311,40.7151412964,N,469
id0401120,1,2016-06-19 19:47:00,2016-06-19 19:50:03,1,-73.9741668701,40.7647171021,-73.964515686,40.7730636597,N,183
id0289840,2,2016-03-14 19:35:34,2016-03-14 20:08:04,1,-73.9709014893,40.7526397705,-73.9858169556,40.660369873,N,1950
id3909385,1,2016-06-27 09:40:23,2016-06-27 09:44:56,2,-73.9783782959,40.7523345947,-73.988609314,40.7429504395,N,273
id1047682,1,2016-03-08 13:00:39,2016-03-08 13:16:01,1,-73.9754714966,40.7610588074,-73.9851379395,40.7419815063,N,922
id0387627,1,2016-04-30 17:25:19,2016-04-30 17:39:25,1,-74.0039215088,40.7483940125,-73.9908065796,40.7283706665,N,846
id0696585,1,2016-01-14 11:07:22,2016-01-14 11:08:12,1,-73.947845459,40.7820510864,-73.9478530884,40.781917572,N,50
id1082306,2,2016-06-10 20:50:29,2016-06-10 21:01:28,1,-73.9764251709,40.7442016602,-73.9916000366,40.72631073,N,659
id0341474,2,2016-04-19 23:34:24,2016-04-19 23:39:27,1,-73.9566192627,40.7142066956,-73.9661026001,40.6941757202,N,303
id2131896,1,2016-02-11 12:17:44,2016-02-11 12:40:57,1,-73.9448013306,40.779335022,-73.9763565063,40.7602806091,N,1393
id0248340,2,2016-05-26 06:29:43,2016-05-26 06:32:01,2,-73.9759368896,40.7286338806,-73.9885864258,40.7340202332,N,138
id3965419,2,2016-04-15 20:22:58,2016-04-15 20:30:53,1,-73.9945449829,40.7347183228,-74.0066757202,40.7309379578,N,475
id2103198,1,2016-02-29 08:55:39,2016-02-29 09:03:55,1,-74.0130767822,40.7044219971,-74.0135574341,40.7152404785,N,496
id0924665,2,2016-04-26 13:13:41,2016-04-26 13:25:04,2,-73.9592208862,40.7675590515,-73.9725189209,40.7493591309,N,683
id0558869,2,2016-05-05 08:47:01,2016-05-05 08:51:26,1,-73.9823303223,40.7681541443,-73.981048584,40.7734107971,N,265
id0524346,2,2016-05-27 19:42:56,2016-05-27 19:52:49,1,-73.9901580811,40.7566986084,-73.9938812256,40.7513618469,N,593
id1868715,2,2016-01-26 11:59:43,2016-01-26 12:19:38,1,-73.9818496704,40.7693214417,-73.9926223755,40.7543869019,N,1195
id0819181,1,2016-06-01 17:33:07,2016-06-01 17:46:01,1,-73.9748535156,40.7329559326,-74.0018539429,40.7395744324,N,774
id1873817,2,2016-03-29 19:11:03,2016-03-29 19:19:11,4,-73.9807739258,40.7445716858,-73.986038208,40.751411438,N,488
id0240111,2,2016-06-21 01:17:28,2016-06-21 01:25:43,5,-74.0061950684,40.7336959839,-73.9809417725,40.7295646667,N,495
id2941169,2,2016-01-02 04:13:21,2016-01-02 04:21:35,5,-73.9676589966,40.756275177,-73.9967041016,40.7612533569,N,494
id0465272,1,2016-04-11 15:59:15,2016-04-11 16:05:13,1,-73.994102478,40.7265586853,-73.9800338745,40.7237739563,N,358
id2649409,2,2016-01-15 22:46:40,2016-01-15 22:53:47,6,-74.0150680542,40.7139663696,-74.0073242188,40.7335968018,N,427
id0807187,1,2016-02-25 21:46:21,2016-02-25 21:51:52,1,-73.9563140869,40.7756919861,-73.9477005005,40.7752075195,N,331
id1386269,1,2016-04-15 23:33:33,2016-04-15 23:57:18,1,-73.9541091919,40.7745704651,-73.9005355835,40.7420043945,N,1425
id3260666,2,2016-02-12 20:46:46,2016-02-12 21:06:00,1,-73.9870910645,40.7293815613,-74.0163726807,40.7112693787,N,1154
id3770655,2,2016-06-06 11:25:37,2016-06-06 12:16:23,2,-73.7903213501,40.6468086243,-73.9573287964,40.8091430664,N,3046
id2406237,1,2016-03-07 23:07:43,2016-03-07 23:13:06,2,-73.9838638306,40.7617034912,-73.9913330078,40.7499275208,N,323
id3380741,1,2016-01-12 17:37:38,2016-01-12 17:54:47,1,-74.0077056885,40.7517738342,-73.9692306519,40.7934761047,N,1029
id0479629,2,2016-06-11 19:26:04,2016-06-11 19:51:17,1,-73.9848937988,40.7233505249,-74.0052108765,40.7418899536,N,1513
id0674804,1,2016-05-17 09:47:45,2016-05-17 10:05:06,1,-73.9820404053,40.7720718384,-73.9648895264,40.8066139221,N,1041
id1156369,2,2016-05-30 15:43:22,2016-05-30 15:58:49,3,-73.9979019165,40.7204475403,-73.9588928223,40.7637252808,N,927
id1004498,1,2016-02-27 11:09:02,2016-02-27 11:17:58,1,-73.9936523438,40.7428436279,-73.9816894531,40.7367134094,N,536
id0648787,1,2016-03-16 22:58:24,2016-03-16 23:00:53,1,-73.9813690186,40.7791137695,-73.9737167358,40.7893180847,N,149
id0957496,1,2016-03-07 10:55:33,2016-03-07 11:26:40,1,-73.9881286621,40.768901825,-73.9665756226,40.7582130432,N,1867
id1687402,1,2016-04-08 13:25:30,2016-04-08 13:44:07,1,-73.970916748,40.7583770752,-74.0135803223,40.7152633667,N,1117
id1520378,1,2016-03-17 20:01:49,2016-03-17 20:15:56,1,-73.9663085938,40.7647895813,-73.9462356567,40.7746963501,N,847
id1604074,1,2016-05-16 07:34:25,2016-05-16 07:36:56,1,-73.9484100342,40.8296165466,-73.948928833,40.8234405518,N,151
id0545427,1,2016-05-06 23:19:50,2016-05-06 23:36:00,3,-73.9973526001,40.7149887085,-73.9587249756,40.7095985413,N,970
id1410661,1,2016-02-07 14:51:48,2016-02-07 14:55:49,1,-73.9690628052,40.8011856079,-73.9640655518,40.8075332642,N,241
id0793445,1,2016-06-26 00:45:17,2016-06-26 00:53:37,2,-73.9987945557,40.744884491,-73.9853286743,40.76329422,N,500
id0696566,2,2016-01-01 05:25:23,2016-01-01 05:30:41,6,-73.8683776855,40.7468910217,-73.8805465698,40.7501792908,N,318
id2881548,1,2016-04-23 22:31:10,2016-04-23 22:35:21,1,-73.98828125,40.7183189392,-73.9778747559,40.7127952576,N,251
id3577599,1,2016-05-11 19:06:03,2016-05-11 19:34:02,1,-73.9722442627,40.7582588196,-73.9911804199,40.7209625244,N,1679
id1136087,2,2016-05-14 23:48:10,2016-05-15 00:00:15,2,-73.9849090576,40.7242012024,-73.9948196411,40.7181396484,N,725
id1009212,2,2016-03-02 13:24:19,2016-03-02 13:29:12,1,-73.988822937,40.7452507019,-73.9802780151,40.7447509766,N,293
id3841776,2,2016-04-01 23:47:20,2016-04-02 00:16:34,2,-73.7803878784,40.6473846436,-73.9725341797,40.7467460632,N,1754
id2495784,1,2016-03-21 19:36:59,2016-03-21 19:44:03,1,-73.9442367554,40.794883728,-73.9525756836,40.7815513611,N,424
id3670696,1,2016-03-17 21:27:33,2016-03-17 21:34:34,1,-73.9629135132,40.7632751465,-73.9762191772,40.76404953,N,421
id2856405,2,2016-01-10 01:08:38,2016-01-10 01:27:31,1,-74.0060119629,40.7099151611,-73.9770965576,40.7848930359,N,1133
id2146177,2,2016-04-28 05:49:32,2016-04-28 05:58:51,1,-74.0072250366,40.707862854,-73.9921264648,40.7291069031,N,559
id2587023,1,2016-04-13 21:23:01,2016-04-13 21:29:06,1,-73.9722213745,40.758392334,-73.9649963379,40.7714767456,N,365
id1623920,1,2016-01-20 16:12:24,2016-01-20 16:19:42,1,-73.9582138062,40.7646636963,-73.9463272095,40.7811203003,N,438
id3973252,1,2016-03-21 18:00:17,2016-03-21 18:07:55,1,-73.9683837891,40.7620773315,-73.951713562,40.7848968506,N,458
id2324397,1,2016-05-25 00:31:57,2016-05-25 00:50:06,1,-74.0053710938,40.7287216187,-73.9405212402,40.7248153687,N,1089
id2325189,1,2016-01-14 23:07:41,2016-01-14 23:36:26,2,-73.9960098267,40.7242279053,-73.9270858765,40.7736053467,N,1725
id1642133,2,2016-06-11 22:20:23,2016-06-11 22:27:31,1,-73.9617004395,40.7804489136,-73.9462585449,40.7757492065,N,428
id2186831,1,2016-05-19 21:57:36,2016-05-19 22:08:01,1,-73.9510650635,40.777431488,-73.9792175293,40.7835006714,N,625
id1492394,2,2016-04-20 21:04:44,2016-04-20 21:38:35,1,-73.7783432007,40.6467781067,-73.5898513794,40.7460479736,N,2031
id0934913,1,2016-03-20 12:30:31,2016-03-20 12:44:22,1,-73.9956436157,40.7694702148,-73.9745635986,40.7558135986,N,831
id3135133,2,2016-05-27 21:44:42,2016-05-27 22:08:31,6,-73.9213256836,40.739616394,-73.9591445923,40.6699829102,N,1429
id3165657,1,2016-02-19 21:59:09,2016-02-19 22:14:32,1,-73.9886550903,40.7617797852,-73.9784927368,40.7527618408,N,923
id2885656,1,2016-01-20 12:02:42,2016-01-20 12:11:56,1,-73.9715652466,40.7553443909,-73.9833145142,40.749874115,N,554
id2030666,2,2016-01-26 06:05:52,2016-01-26 06:07:37,1,-73.9831466675,40.7385978699,-73.9835205078,40.7343559265,N,105
id3530150,1,2016-01-19 12:29:07,2016-01-19 12:42:09,1,-74.0059509277,40.735824585,-73.9909133911,40.7367248535,N,782
id2924066,1,2016-01-24 15:06:36,2016-01-24 15:17:57,2,-73.9612731934,40.7691383362,-73.982421875,40.7682876587,N,681
id1666226,1,2016-02-11 10:55:25,2016-02-11 11:07:03,1,-73.9898910522,40.7293014526,-74.0041809082,40.7416305542,N,698
id1543270,1,2016-05-23 09:28:33,2016-05-23 09:51:18,1,-73.9733505249,40.743888855,-73.9823684692,40.7557525635,N,1365
id2273347,1,2016-02-24 03:42:57,2016-02-24 03:48:28,1,-73.9522399902,40.7408370972,-73.9029388428,40.7289657593,N,331
id2533686,1,2016-03-30 19:48:32,2016-03-30 19:55:17,1,-73.9978942871,40.7459144592,-73.9858627319,40.7410240173,N,405
id0384638,2,2016-04-09 18:00:38,2016-04-09 18:08:47,1,-73.9674682617,40.763217926,-73.9780426025,40.7485427856,N,489
id0125347,2,2016-02-07 15:28:11,2016-02-07 15:43:49,2,-73.9975128174,40.7565498352,-74.0159683228,40.7115898132,N,938
id2221741,2,2016-04-21 21:25:32,2016-04-21 21:41:37,1,-74.0066986084,40.7055053711,-73.9462585449,40.7813224792,N,965
id2577739,1,2016-05-29 05:13:14,2016-05-29 05:53:23,1,-73.7911911011,40.646030426,-73.7880172729,40.6414680481,N,2409
id3473720,2,2016-01-11 09:52:55,2016-01-12 09:38:51,2,-73.9771728516,40.7471046448,-73.9569320679,40.7749938965,N,85556
id3715208,2,2016-02-12 00:14:19,2016-02-12 00:29:21,4,-73.998260498,40.6865882874,-73.9766082764,40.665019989,N,902
id0885857,2,2016-03-23 11:19:44,2016-03-23 12:04:15,1,-73.8639984131,40.7699699402,-73.9758224487,40.7638626099,N,2671
id3578716,1,2016-05-31 16:44:19,2016-05-31 16:57:19,1,-74.0115737915,40.710144043,-73.9965744019,40.7536430359,N,780
id0846393,2,2016-05-21 19:20:35,2016-05-21 19:32:01,1,-73.9628829956,40.7580299377,-73.9854888916,40.7465515137,N,686
id0750804,2,2016-02-24 10:23:25,2016-02-24 10:36:22,2,-73.9868392944,40.7715911865,-73.9772186279,40.7848014832,N,777
id0182216,1,2016-02-08 12:44:59,2016-02-08 12:52:06,1,-73.9834365845,40.7627258301,-73.9847946167,40.7519378662,N,427
id0893302,2,2016-01-22 10:01:08,2016-01-22 10:04:59,1,-73.9909210205,40.749961853,-73.9919662476,40.74243927,N,231
id3701279,1,2016-02-22 02:42:33,2016-02-22 03:06:48,2,-73.9828567505,40.7269821167,-73.9830169678,40.6961593628,N,1455
id0758650,2,2016-04-06 20:11:03,2016-04-06 20:26:00,1,-74.0001220703,40.7182693481,-73.9845199585,40.7611312866,N,897
id3671592,1,2016-01-17 18:26:26,2016-01-17 18:37:00,1,-73.9791030884,40.7630081177,-73.9918365479,40.7491569519,N,634
id0338220,2,2016-04-11 17:20:02,2016-04-11 17:28:55,3,-73.9520645142,40.7694206238,-73.9625244141,40.75806427,N,533
id0063816,1,2016-01-06 13:05:36,2016-01-06 13:19:51,1,-73.9632110596,40.7581253052,-73.9807891846,40.747756958,N,855
id1922861,1,2016-06-12 12:03:34,2016-06-12 12:10:13,1,-73.9532546997,40.7794876099,-73.9470367432,40.7751159668,N,399
id0800693,2,2016-05-17 01:23:14,2016-05-17 01:25:47,1,-73.9879837036,40.7574386597,-73.9800491333,40.7544784546,N,153
id2890823,1,2016-02-06 15:50:24,2016-02-06 15:59:11,1,-73.9819335938,40.7628517151,-73.9660491943,40.7619476318,N,527
id0189584,2,2016-05-14 19:41:29,2016-05-14 19:52:27,1,-74.0011138916,40.7317581177,-73.9979248047,40.7564315796,N,658
id2417195,1,2016-02-16 11:46:22,2016-02-16 12:14:58,1,-74.009147644,40.7041168213,-73.9923324585,40.7539482117,N,1716
id0562606,2,2016-05-29 18:09:25,2016-05-29 18:19:00,5,-73.9696044922,40.7616767883,-73.981338501,40.7636222839,N,575
id3067672,1,2016-04-22 23:03:55,2016-04-22 23:24:13,1,-73.9643707275,40.7756576538,-73.9877319336,40.7245903015,N,1218
id2869341,1,2016-01-04 17:28:37,2016-01-04 17:39:15,1,-73.9854812622,40.7689170837,-73.9764328003,40.785823822,N,638
id3036809,2,2016-03-09 13:03:20,2016-03-09 13:13:06,1,-73.9586715698,40.783908844,-73.9588699341,40.7689781189,N,586
id0222255,2,2016-03-30 20:50:22,2016-03-30 21:02:20,6,-74.0028762817,40.7602806091,-74.0160446167,40.7112503052,N,718
id2383736,2,2016-01-10 10:33:55,2016-01-10 10:40:28,1,-73.9989547729,40.7192764282,-74.0001296997,40.7303962708,N,393
id2422492,1,2016-01-27 16:42:48,2016-01-27 16:45:55,1,-74.0020675659,40.7300186157,-73.9963989258,40.735584259,N,187
id0619020,2,2016-01-07 11:21:32,2016-01-07 11:40:22,2,-73.9882354736,40.7353858948,-73.973449707,40.764881134,N,1130
id2596934,1,2016-04-07 14:39:42,2016-04-07 15:15:59,1,-73.9876403809,40.7516479492,-73.9411621094,40.8414993286,N,2177
id3678280,2,2016-06-14 08:56:59,2016-06-14 09:08:46,1,-73.9887466431,40.7483901978,-73.9889526367,40.7388114929,N,707
id2866030,2,2016-04-17 05:02:33,2016-04-17 05:15:52,1,-73.9705734253,40.7507095337,-74.0030212402,40.7331199646,N,799
id0569666,2,2016-03-29 11:39:38,2016-03-29 12:04:15,6,-73.9806900024,40.7748718262,-73.9709396362,40.7579116821,N,1477
id3080875,1,2016-04-17 04:00:28,2016-04-17 04:07:12,1,-73.9885940552,40.7566413879,-73.9770812988,40.7444190979,N,404
id3839151,1,2016-05-25 12:05:59,2016-05-25 12:10:15,1,-73.9845581055,40.7429275513,-73.9888305664,40.7372322083,N,256
id3341054,2,2016-05-12 18:29:43,2016-05-12 18:31:52,6,-73.9991226196,40.717502594,-73.9998931885,40.7193527222,N,129
id3345393,2,2016-01-26 00:03:51,2016-01-26 00:15:13,1,-74.0015029907,40.7409553528,-73.9788818359,40.7473754883,N,682
id1859097,1,2016-01-08 11:19:15,2016-01-08 11:27:42,1,-73.9568328857,40.7750053406,-73.964881897,40.7715835571,N,507
id3626476,2,2016-04-20 18:02:29,2016-04-20 18:20:42,2,-74.0013885498,40.7359580994,-73.981842041,40.7556114197,N,1093
id2266503,2,2016-03-09 07:14:34,2016-03-09 07:20:48,6,-73.9787521362,40.7445716858,-73.9874954224,40.7357177734,N,374
id2680042,2,2016-06-23 14:15:59,2016-06-23 14:32:01,5,-74.0018920898,40.7228317261,-73.9931793213,40.7392501831,N,962
id1827362,2,2016-03-16 09:17:27,2016-03-16 09:41:31,1,-73.9547348022,40.7672653198,-73.9781112671,40.7720718384,N,1444
id3667885,2,2016-05-04 19:58:00,2016-05-04 20:10:40,1,-73.9879226685,40.749458313,-73.9728546143,40.7643966675,N,760
id0424820,2,2016-05-13 13:46:31,2016-05-13 13:51:45,1,-73.9622497559,40.7791519165,-73.9602432251,40.7817268372,N,314
id1061700,1,2016-02-25 12:32:54,2016-02-25 12:34:39,1,-73.9840316772,40.7516441345,-73.9828262329,40.7478370667,N,105
id2866757,1,2016-05-24 02:53:34,2016-05-24 03:04:22,1,-74.0109176636,40.7032203674,-73.9854888916,40.7518806458,N,648
id3682754,1,2016-01-25 17:25:16,2016-01-25 17:38:00,1,-73.9843902588,40.7370223999,-73.9708328247,40.7526893616,N,764
id3292510,2,2016-06-02 01:09:27,2016-06-02 01:18:28,1,-73.9785690308,40.7287483215,-73.9908981323,40.7511405945,N,541
id2431203,1,2016-02-02 14:16:01,2016-02-02 14:29:05,1,-74.0016403198,40.7276496887,-74.0065536499,40.7423210144,Y,784
id1887695,1,2016-05-02 23:36:53,2016-05-02 23:51:30,1,-74.0085067749,40.7113418579,-73.9552459717,40.7075157166,N,877
id1246272,2,2016-05-30 01:29:56,2016-05-30 01:55:06,1,-73.7767181396,40.6453933716,-73.9133529663,40.7459373474,N,1510
id1906650,2,2016-02-13 12:10:33,2016-02-13 12:29:33,2,-73.9845962524,40.7456283569,-73.9579315186,40.7125015259,N,1140
id0651556,2,2016-05-27 05:58:04,2016-05-27 06:09:15,2,-73.9875564575,40.7684211731,-73.9815368652,40.7586517334,N,671
id1192327,1,2016-05-12 08:11:44,2016-05-12 08:17:25,1,-73.9738006592,40.7496643066,-73.9713516235,40.7569885254,N,341
id1296421,2,2016-03-05 13:13:00,2016-03-05 13:23:51,1,-73.9875717163,40.7197113037,-74.0043258667,40.7212371826,N,651
id2196879,2,2016-01-19 13:06:31,2016-01-19 13:09:01,1,-73.9793319702,40.7845726013,-73.9752349854,40.7899436951,N,150
id3414222,2,2016-02-03 23:12:56,2016-02-03 23:22:19,5,-73.9825286865,40.7824897766,-73.9878463745,40.7639083862,N,563
id0937172,2,2016-05-20 17:07:53,2016-05-20 17:13:39,1,-73.9686737061,40.7600784302,-73.972076416,40.7463989258,N,346
id2241608,1,2016-04-08 21:04:23,2016-04-08 21:32:49,2,-74.0061264038,40.7178344727,-73.9272537231,40.7628822327,N,1706
id3287381,2,2016-06-04 10:27:26,2016-06-04 10:57:14,1,-73.8637313843,40.7697486877,-73.984992981,40.7469062805,N,1788
id0695221,1,2016-05-13 12:47:04,2016-05-13 12:57:24,1,-73.9953231812,40.7186355591,-73.982749939,40.7029151917,N,620
id2097467,1,2016-01-04 13:12:06,2016-01-04 13:18:51,1,-74.0060424805,40.7450714111,-74.0048904419,40.756690979,N,405
id3081547,1,2016-02-24 23:02:14,2016-02-24 23:20:09,1,-73.9741363525,40.7641792297,-73.9857788086,40.7439117432,N,1075
id1896104,1,2016-06-20 00:39:54,2016-06-20 00:47:06,2,-74.0052337646,40.7215385437,-74.0064926147,40.7385864258,N,432
id3586198,1,2016-04-16 16:02:58,2016-04-16 16:22:42,1,-74.0001754761,40.7584838867,-73.9785461426,40.7641601562,N,1184
id3053637,2,2016-03-14 00:19:06,2016-03-14 00:22:34,3,-73.9821395874,40.7521286011,-73.9817962646,40.7423706055,N,208
id1220081,1,2016-05-28 22:37:52,2016-05-28 22:42:09,3,-73.9754104614,40.7601623535,-73.9683074951,40.7531738281,N,257
id0502932,2,2016-02-29 13:16:50,2016-02-29 13:34:27,2,-73.9728469849,40.7588386536,-73.9781494141,40.7197685242,N,1057
id1094089,1,2016-03-08 17:24:21,2016-03-08 17:43:26,1,-73.9781265259,40.7519493103,-73.9873352051,40.7652587891,N,1145
id2281518,1,2016-03-13 17:08:12,2016-03-13 17:17:41,2,-74.0080795288,40.7392120361,-73.9923095703,40.7328414917,N,569
id3663358,2,2016-06-20 17:36:06,2016-06-20 17:54:41,1,-73.9558563232,40.7761688232,-73.9913406372,40.7261886597,N,1115
id2669624,1,2016-03-03 23:25:46,2016-03-03 23:59:41,2,-73.9891052246,40.756893158,-73.9434356689,40.6945457458,N,2035
